"record","fhcounter","host","fhlrcounter","litnum","state","country","notes","citation","taxon","author","year","current","kingdom","phylum","class","order","family","genus","species","header"
"218372",424,"Pseudotsuga menziesii","1647726","52988","United States","United States",NA,"Sandoval-Denis, M., Swart, W.J., and Crous, P.W.. 2018. New %Fusarium% species from the Kruger National Park, South Africa. MycoKeys 34:63-92","Fusarium oxysporum","Schltdl.",1824,"218372","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium_oxysporum","Fungi;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium;Fusarium_oxysporum"
"218372",424,"Pseudotsuga menziesii","1456135","8376","Canada","Canada",NA,"Ginns, J.H.. 1986. Compendium of plant disease and decay fungi in Canada 1960-1980. Res. Br. Can. Agric. Publ. 1813:416","Fusarium oxysporum","Schltdl.",1824,"218372","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium_oxysporum","Fungi;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium;Fusarium_oxysporum"
"218372",424,"Pseudotsuga menziesii","1312064","13027","Canada","Canada",NA,"Richardson, M.J.. 1990. An Annotated List of Seed-Borne Diseases. Fourth Edition. International Seed Testing Association, Zurich :387+","Fusarium oxysporum","Schltdl.",1824,"218372","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium_oxysporum","Fungi;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium;Fusarium_oxysporum"
"237833",435,"Pseudotsuga menziesii","779","99","Oregon","United States","On leaf surface.","Rossman, A.Y., and Lu, K.C.. 1980. Filamentous fungi associated with leaf surfaces of red alder and Douglas-fir seedlings in western Oregon. Mycotaxon 10:369-371","Sordaria minima","Sacc. & Speg.",1878,"237833","Fungi","Ascomycota","Sordariomycetes","Sordariales","Sordariaceae","Sordaria","Sordaria_minima","Fungi;Ascomycota;Sordariomycetes;Sordariales;Sordariaceae;Sordaria;Sordaria_minima"
"305704",483,"Pseudotsuga menziesii","874","99","Oregon","United States","On leaf surface.","Rossman, A.Y., and Lu, K.C.. 1980. Filamentous fungi associated with leaf surfaces of red alder and Douglas-fir seedlings in western Oregon. Mycotaxon 10:369-371","Scytalidium lignicola","Pesante",1957,"305704","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiales_family_incertae_sedis","Scytalidium","Scytalidium_lignicola","Fungi;Ascomycota;Leotiomycetes;Helotiales;Helotiales_family_incertae_sedis;Scytalidium;Scytalidium_lignicola"
"504526",485,"Pseudotsuga menziesii","876","99","Oregon","United States","On leaf surface.","Rossman, A.Y., and Lu, K.C.. 1980. Filamentous fungi associated with leaf surfaces of red alder and Douglas-fir seedlings in western Oregon. Mycotaxon 10:369-371","Cladophialophora chaetospira","(Grove) Crous & Arzanlou",2007,"504526","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Cladophialophora","Cladophialophora_chaetospira","Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;Cladophialophora;Cladophialophora_chaetospira"
"7681",530,"Pseudotsuga menziesii","943","44","Washington","United States",NA,"Shaw, C.G.. 1973. Host fungus index for the Pacific Northwest - I.  Hosts. Washington State Univ. Agric. Exp. Sta. Bull. 765:1-121","Cladosporium","Link",1816,"7681","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium","Cladosporium_sp","Fungi;Ascomycota;Dothideomycetes;Capnodiales;Cladosporiaceae;Cladosporium;Cladosporium_sp"
"106750",1076,"Pseudotsuga menziesii","1920","277","Arizona","United States",NA,"BPI. n/a. National Fungus Collections. U.S. Department of Agriculture, Beltsville, MD :n/a","Cylindrobasidium laeve","(Pers.) Chamuris",1984,"106750","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Physalacriaceae","Cylindrobasidium","Cylindrobasidium_laeve","Fungi;Basidiomycota;Agaricomycetes;Agaricales;Physalacriaceae;Cylindrobasidium;Cylindrobasidium_laeve"
"190066",1434,"Pseudotsuga menziesii","2599","3249","California","United States",NA,"Raabe, R.D.. 1966. Variation of %Armillaria mellea% in culture. Phytopathology 56:1241-1244","Armillaria mellea","(Vahl) P. Kumm.",1871,"190066","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Physalacriaceae","Armillaria","Armillaria_mellea","Fungi;Basidiomycota;Agaricomycetes;Agaricales;Physalacriaceae;Armillaria;Armillaria_mellea"
"190066",1434,"Pseudotsuga menziesii","1275818","25284","California","United States",NA,"French, A.M.. 1989. California Plant Disease Host Index.. Calif. Dept. Food Agric., Sacramento :394","Armillaria mellea","(Vahl) P. Kumm.",1871,"190066","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Physalacriaceae","Armillaria","Armillaria_mellea","Fungi;Basidiomycota;Agaricomycetes;Agaricales;Physalacriaceae;Armillaria;Armillaria_mellea"
"190066",1434,"Pseudotsuga menziesii","1194189","36158","California","United States",NA,"Baumgartner, K., and Rizzo, D.M.. 2001. Ecology of %Armillaria% spp. in mixed-hardwood forests of California. Pl. Dis. 85:947-951","Armillaria mellea","(Vahl) P. Kumm.",1871,"190066","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Physalacriaceae","Armillaria","Armillaria_mellea","Fungi;Basidiomycota;Agaricomycetes;Agaricales;Physalacriaceae;Armillaria;Armillaria_mellea"
"190066",1434,"Pseudotsuga menziesii","2598","44","Idaho","United States",NA,"Shaw, C.G.. 1973. Host fungus index for the Pacific Northwest - I.  Hosts. Washington State Univ. Agric. Exp. Sta. Bull. 765:1-121","Armillaria mellea","(Vahl) P. Kumm.",1871,"190066","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Physalacriaceae","Armillaria","Armillaria_mellea","Fungi;Basidiomycota;Agaricomycetes;Agaricales;Physalacriaceae;Armillaria;Armillaria_mellea"
"190066",1434,"Pseudotsuga menziesii","2596","2730","Idaho","United States",NA,"Hobbs, S.D., and Partridge, A.D.. 1979. Wood decays, root rots, and stand composition along an elevation gradient. Forest Sci. 25:31-42","Armillaria mellea","(Vahl) P. Kumm.",1871,"190066","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Physalacriaceae","Armillaria","Armillaria_mellea","Fungi;Basidiomycota;Agaricomycetes;Agaricales;Physalacriaceae;Armillaria;Armillaria_mellea"
"190066",1434,"Pseudotsuga menziesii","2597","3124","Idaho","United States",NA,"Chacko, R.J., and Partridge, A.D.. 1976. Decay fungi isolated from conifers of northern Idaho. Pl. Dis. Reporter 60:960-963","Armillaria mellea","(Vahl) P. Kumm.",1871,"190066","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Physalacriaceae","Armillaria","Armillaria_mellea","Fungi;Basidiomycota;Agaricomycetes;Agaricales;Physalacriaceae;Armillaria;Armillaria_mellea"
